Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
YEP Energy,https://www.crunchbase.com/organization/yep-energy,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Electrical Distribution, Energy, Oil and Gas, Residential",YEP Energy is a public utility company that provides retail electricity and natural gas services to residential and commercial customers.,"1,805,017",,"1,753,652"
ServiceMaster Advantage,https://www.crunchbase.com/organization/servicemaster-advantage-tx,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Home Services, Insurance",ServiceMaster Advantage is a fire and water damage restoration company for construction.,"1,808,512",,"1,757,098"
Emco Wheaton,https://www.crunchbase.com/organization/emco-wheaton,101-250,High,Active,Private,"Houston, Texas, United States","Industrial Engineering, Manufacturing, Mechanical Engineering",Emco Wheaton has provided premium fluid transfer systems that are engineered to meet and exceed the growing demands of customers.,"1,810,908",,"1,759,450"
Building Professionals of Texas,https://www.crunchbase.com/organization/building-professionals-of-texas,251-500,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Facilities Support Services, Facility Management, Janitorial Service",Building Professionals of Texas is a facility maintenance company.,"1,814,176",,"1,762,665"
New Phone Company,https://www.crunchbase.com/organization/new-phone-company,101-250,High,Active,Private,"Houston, Texas, United States","Mobile, Mobile Devices, Telecommunications, Wireless",New Phone Company offers free government cell phones and minutes through the Federal Lifeline program.,"1,822,509",,"1,770,705"
"Brown Sims, P.C.",https://www.crunchbase.com/organization/brown-sims-p-c,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"Brown Sims, P.C. is a law firm based in Houston, Lafayette, New Orleans, Gulfport, and Miami.","1,838,489",,"1,786,666"
Maintenance Of Houston,https://www.crunchbase.com/organization/maintenance-of-houston,251-500,High,Active,Private,"Houston, Texas, United States","Education, Facility Management, Janitorial Service","Maintenance Of Houston provides facility management, industrial, building maintenance, cultural centers, and educational services.","1,845,362",,"1,793,276"
American Advertising Federation - Houston,https://www.crunchbase.com/organization/american-advertising-federation-houston,101-250,High,Active,Private,"Houston, Texas, United States","Advertising, Marketing, Non Profit","AAF-Houston offers advertising, marketing, and communications services.","1,850,680",,"1,798,703"
Phobia Haunted Houses,https://www.crunchbase.com/organization/phobia-haunted-houses,101-250,High,Active,Private,"Houston, Texas, United States","Amusement Park and Arcade, Hospitality, Information Services, Ticketing","Phobia Haunted Houses is a haunted houses website that provides information about locations, tickets, and calendars.","1,857,951",,"1,805,693"
SPY Inspection Equipment,https://www.crunchbase.com/organization/spy-inspection-equipment,251-500,High,Active,Private,"Houston, Texas, United States","Electronics, Industrial, Industrial Manufacturing, Manufacturing",SPY Inspection Equipment is a pig tracking equipment company.,"1,868,288",,"1,815,886"
Soteica Visual Mesa,https://www.crunchbase.com/organization/soteica-visual-mesa,101-250,High,Active,Private,"Houston, Texas, United States","Consumer Electronics, Energy, Renewable Energy, Software",Soteica Visual Mesa is a energy management technology provider.,"1,869,694",,"1,817,444"
Senior Allegiance,https://www.crunchbase.com/organization/senior-allegiance,101-250,High,Active,Private,"Houston, Texas, United States","Elder Care, Health Care, Medical, Nursing and Residential Care","Senior Allegiance provides nursing, personal assistance, assisted living, and medicare home healthcare services for seniors.","1,888,472",,"1,835,795"
Tom Peacock,https://www.crunchbase.com/organization/tom-peacock-aab2,101-250,High,Active,Private,"Houston, Texas, United States","Automotive, Customer Service, Service Industry",Tom Peacock is an automotive dealer and services for a new and used cars.,"1,888,859",,"1,836,373"
10Staffing,https://www.crunchbase.com/organization/10staffing,501-1000,High,Active,Private,"Houston, Texas, United States","Business Development, Recruiting, Staffing Agency","10Staffing is a staffing agency that recruits virtual assistants, back office support, finance managers, and human resource for businesses.","1,892,097",,"1,839,381"
Radkin,https://www.crunchbase.com/organization/radkin,101-250,High,Active,Private,"Houston, Texas, United States","Delivery Service, Human Resources, Professional Services","Radkin offers hospitality services, valet services, concierge, porter and baggage delivery services for luxury residential properties.","1,892,889",,"1,840,342"
AmCap Home Loans,https://www.crunchbase.com/organization/amcap-home-loans,251-500,High,Active,Private,"Houston, Texas, United States","Finance, Financial Services, Residential",AmCap Home Loans specializes in home loan services.,"1,910,245",,"1,857,466"
"EXP Engineering International, LLC.",https://www.crunchbase.com/organization/exp-engineering-international-llc,101-250,High,Active,Private,"Houston, Texas, United States",Energy,EXP Engineering International is an oil & energy company that offers offshore engineering and consultancy services.,"1,910,774",,"1,857,990"
Enriched Real Estate,https://www.crunchbase.com/organization/enriched-real-estate,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Property Management, Real Estate",Enriched Real Estate is a property search portal for residential and commercial real estate properties.,"1,914,872",,"1,861,858"
CARE,https://www.crunchbase.com/organization/care-083a,101-250,High,Active,Private,"Houston, Texas, United States","Communities, Education, Training","CARE offers in-home applied behavior analysis programming, school district consultation, and community-based ABA programming.","1,916,810",,"1,863,766"
National Computational Science Alliance,https://www.crunchbase.com/organization/national-computational-science-alliance,251-500,High,Active,Private,"Houston, Texas, United States","Association, Education, Non Profit","The National Computational Science Alliance (NCSA), led by the University of Illinois at Urbana-Champaign.","1,929,429",,"1,876,228"
Lone Star Bloom,https://www.crunchbase.com/organization/lone-star-bloom,101-250,High,Active,Private,"Houston, Texas, United States",Retail,A group of brick and mortar retail flower shops,"1,932,921",,"1,879,847"
Prosertek,https://www.crunchbase.com/organization/prosertek,101-250,High,Active,Private,"Houston, Texas, United States","Industrial, Industrial Engineering, Mechanical Engineering","Prosertek specializes in underwater maintenance, non-destructive bollard tests, portable pilot unit, engineering, and technical assistance.","1,938,027",,"1,884,873"
Wristbands,https://www.crunchbase.com/organization/daniel-collins-d03f,251-500,High,Active,Private,"Houston, Texas, United States","E-Commerce, Manufacturing, Small and Medium Businesses",Custom Silicone Wristbands at MakeYourWristbands.com are accessible in limitless colors and are of the most highest quality.,"1,949,252",,"1,895,926"
TSC Drill Pipe,https://www.crunchbase.com/organization/tsc-drill-pipe,501-1000,High,Active,Private,"Houston, Texas, United States","Manufacturing, Oil and Gas, Professional Services","TEXAS STEEL CONVERSION, INC., (“TSC”), a leading provider of OCTG Processing and Manufacturer of Drill Pipe.","1,956,484",,"1,903,055"
Qjump Media,https://www.crunchbase.com/organization/qjump-media,101-250,High,Active,Private,"Houston, Texas, United States","Digital Marketing, SEO, Web Design",Qjump Media is a digital marketing company that offers innovative and creative digital solutions that transcend business.,"1,959,487",,"1,906,019"
Professional Protection & Investigations,https://www.crunchbase.com/organization/professional-protection-investigations,101-250,High,Active,Private,"Houston, Texas, United States","Homeland Security, Physical Security, Security","Professional Protection & Investigations offers uniformed security, VIP protection, threat protection, and investigative services","1,965,424",,"1,911,868"
TMC Engineering Services,https://www.crunchbase.com/organization/tmc-engineering-services,101-250,High,Active,Private,"Houston, Texas, United States",Industrial Engineering,"TMC Engineering Services providing rail car running repair, maintenance, alterations, conversions, and re-qualification services.","1,980,943",,"1,927,010"
Houston Service Industries,https://www.crunchbase.com/organization/houston-service-industries,101-250,High,Active,Private,"Houston, Texas, United States",Manufacturing,"Houston Service Industries is the world's manufacturer of centrifugal blowers, exhausters, and control systems.","1,995,479",,"1,941,353"
RiceSelect,https://www.crunchbase.com/organization/riceselect,101-250,High,Active,Private,"Houston, Texas, United States","Food and Beverage, Manufacturing, Wholesale","RiceSelect produces diverse rice, quinoa, grain, and pasta products, focusing on innovation and sustainability.","2,002,184",,"1,948,129"
Bradford Global Logistics,https://www.crunchbase.com/organization/bradford-global-logistics,101-250,High,Active,Private,"Houston, Texas, United States","Logistics, Supply Chain Management, Transportation","Bradford Global Logistics specializes in supply chain management, warehousing, distribution, freight management and transportation services.","2,004,235",,"1,949,982"
Zion Infosystem,https://www.crunchbase.com/organization/zion-infosystem,1001-5000,High,Active,Private,"Houston, Texas, United States","Computer, Software",Zion Infosystem offers a wide range of Web Media and IT solutions.,"2,018,803",,"1,964,353"
Path to 100%,https://www.crunchbase.com/organization/path-to-100,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Environmental Consulting, Renewable Energy",Path to 100% is a community that provides a renewable energy system with advanced technology.,"2,034,370",,"1,979,726"
